Title,Subtitle,Author,Format,Formats Owned
Perverting the Course of Justice,The Hilarious and Shocking Inside Story of British Policing,Inspector Gadget,Physical,1
Pharaoh,,Wilbur Smith,Kindle,1
Phoenix,Policing The Shadows,Jack Holland,Physical,1
Photographing Children Photo Workshop,Develop Your Digital Photography Talent,Ginny Felch,Physical,1
Pivot,The Only Move That Matters Is Your Next One,Jenny Blake,Kindle,1
Planning and Fitting Kitchens (Do It),,Author,Physical,1
Platform,Get Noticed in a Noisy World,Michael Hyatt,Physical,1
PLAYING DOCTOR - Part One,Medical School: Stumbling through with amnesia,John Lawrence,Kindle,1
Playing to Win,How Strategy Really Works A.G.,Lafley,Kindle,1
Point Blanc (Alex Rider),,Anthony Horowitz,Physical,1
POINT OF CRISIS,A Post-Apocalyptic Survival Thriller (Alex Fletcher Book 4),Steven Konkoly,Kindle,1
Poke the Box,,Seth Godin,Kindle,1
Political Justice (A Marc Kadella Legal Mystery Book 7),,Dennis Carstens,Kindle,1
Pond Scum (Darkthorn Book 1),,Michael Lilly,Kindle,1
Post,A Byron Tibor Thriller,Sean Black,Kindle,1
Post-Human Omnibus,A Science Fiction Novel (Post-Human Series),David Simpson,Kindle,1
Powdered Gold,Templars and the American Ark of the Covenant (Templars in America Series Book 3),David S. Brody,Kindle,1
Powerless Winter,(Surviving the EMP Book 5),Ryan Casey,Kindle,1
Practical Memory,"A Simple Guide to Help You Remember More & Forget Less in Your Everyday Life (Master Your Mind, ... 1C.",Robledo,Kindle,1
Practical Tactical Quick Start Guide,,Randall S. Powers,Kindle,1
Praetorian (Eagles of the Empire 11),,Simon Scarrow,Kindle,1
Predatory Kill,A Lawyer Brent Marks Legal Thriller (Brent Marks Legal Thriller Series Book 2),Kenneth Eade,Kindle,1
Present Danger,Gripping spy thriller from former Head of MIS (Liz Carlyle),Stella Rimington,Kindle,1
Presentation Zen,Simple Ideas on Presentation Design and Delivery,Garr Reynolds,Physical,1
Presidential Shift (Corps Justice Book 4),,C. G. Cooper,Kindle,1
PRIMAL Origins,Starter Box Set (PRIMAL Series),Jack Silkstone,Kindle,1
PRIMAL Reckoning - PRIMAL Action Thriller Book 5 (Book 1 in the Redemption Trilogy) (The PRIMAL Series),,Jack Silkstone,Kindle,1
Primordia,In Search of the Lost World,Greig Beck,Kindle,1
Principles,Your Guided Journal (Create Your Own Principles to Get the Work and Life You Want),Ray Dalio,Physical,1
Principles for Dealing with the Changing World Order,Why Nations Succeed or Fail,Ray Dalio,Audible,1
Prisoner (Tales of the Phoenix Titan Book 3),,S.M. Warlow,Kindle,1
Prisoners of Geography,The Quiz Book: How Much Do You Really Know About the World? The perfect gift for any armchair traveller,Tim Marshall,Kindle,1
Private,(Private 1),James Patterson,Kindle,1
Private L.A.,(Private 7),James Patterson,Kindle,1
Productivity for Creative People,"How to Get Creative Work Done in an ""Always on"" World",,Kindle,1
Professionalism and Business Etiquette (Productivity Book 6),A Practical Guide,Sorin Dumitrascu,Kindle,1
Project Hail Mary,The Sunday Times bestseller from the author of The Martian,Andy Weir,Kindle,1
Project StrikeForce Kevin,,Lee Swaim,Kindle,1
Proxima,,Stephen Baxter,Kindle,1
Public Speaking Strategies,A Practical Guide (Career Book 10) sorin bumit ascu,,Kindle,1
Pulse,The third of the Cooch adventures in national security (The Cooch series of national security thrillers Book 3),Robert Cook,Kindle,1
Push,(Embrace Process to Unlock Your Potential),Andrew Brandt,Kindle,1
Python,4 Books in 1: Beginner's Guide + Tips and Tricks + Best Practices + Advanced Guide to Programming Code...,Charlie Masterson,Kindle,1
Q is for Quarry (Kinsey Millhone Alphabet series Book 17),,Sue Grafton,Kindle,1
Queen & Country,"The Definitive Edition, Vol. 1",Greg Rucka,Physical,1
Queen & Country,"The Definitive Edition, Vol. 2",Greg Rucka,Physical,1
Queen & Country Volume 6,Operation: Dandelion (Queen and Country (Graphic Novels)),Greg Rucka,Physical,1
Queen & Country Volume 8,Operation: Red Panda,Greg Rucka,Physical,1
"Queen & Country, Vol. 1",Operation Broken Ground,Greg Rucka,Physical,1
"Queen & Country, Vol. 2",Operation Morningstar,Greg Rucka,Physical,1
"Queen & Country, Vol. 3",Operation Crystal Ball,Greg Rucka,Physical,1
"Queen & Country, Vol. 3, Definitive Edition",,Greg Rucka,Physical,1
"Queen & Country, Vol. 4",Operation Blackwall,Greg Rucka,Physical,1
"Queen & Country, Vol. 4, Definitive Edition",,Greg Rucka,Physical,1
"Queen & Country, Vol. 5",Operation Stormfront,Greg Rucka,Physical,1
"Queen & Country, Vol. 7",Operation Saddlebag,Greg Rucka,Physical,1
Quiet,The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Kindle, Audible",2
Quinn Gets His Kicks (Liam Quinn Mysteries Book 2) lan,,Loome,Kindle,1
R is for Ricochet (Kinsey Millhone Alphabet series Book 18),,Sue Grafton,Kindle,1
Race Against The Machine,"How the Digital Revolution is Accelerating Innovation, Driving Productivity, and Irreversibly ...",Erik Brynjolfsson,Kindle,1
Radicalized,,Cory Doctorow,Kindle,1
Rain on the Dead,"An action-packed spy thriller (Sean Dillon Series, Book 21)",Jack Higgins,Kindle,1
Rainbow Six,The unputdownable thriller that inspired one of the most popular videogames ever created (John Clark Book 2),Tom Clancy,Kindle,1
Raise Your Game,High-Performance Secrets from the Best of the Best,Alan Stein Jr,"Kindle, Audible",2
Randomize (Forward collection),(forward Collection) AMAZON ONLY,Andy Weir,Kindle,1
Range,How Generalists Triumph in a Specialized World,David Epstein,Audible,1
Rapport,The Four Ways to Read People,Emily Alison,Kindle,1
Ratcatcher (John Purkiss Thriller Book 1),,Tim Stevens,Kindle,1
RATS (A NomaD Thriller Book 1) (NomaD Thriller Series),,Joe Klingler,Kindle,1
Read This Before Our Next Meeting,How We Can Get More Done,Al Pittampalli,Physical,1
Reading Street Atlas,,,Physical,1
Ready for Anything,52 Productivity Principles for Work and Life,David Allen,Physical,1
Ready Player One,,Ernest Cline,Kindle,1
Ready Player Two,The highly anticipated sequel to READY PLAYER ONE,Emest Cline,Kindle,1
Real Help,An Honest Guide to Self-Improvement,Ayodeji Awosika,"Kindle, Audible",2
Real Tigers,Slough House Thriller 3,Mick Herron,Kindle,1
Reamde,,Neal Stephenson,Kindle,1
Reason to Be Happy,Why logical thinking is the key to a better life,Kaushik Basu,Kindle,1
Reasons to Stay Alive,,Matt Haig,"Physical, Kindle, Audible",3
Rebel Ideas,"The Power of Diverse Thinking Matthew Syed, Matthew Syed",Consulting Ltd,Kindle,1
Recall,The Man Who Forgot Who He Was (Stephen Leather Novels Book 18),Stephen Leather,Kindle,1
Recalled to Life,A Historical Mystery and Thriller (The Sergeant Frank Hardy Mysteries Book 2),Wendy M. Wilson,Kindle,1
Reckless,Book 1 of the Mia Kazmaroff Mysteries (Mia Kazmaroff Mystery Series),Susan Kiernan-Lewis,Kindle,1
Recoil,(Nick Stone Thriller 9),Andy McNab,Kindle,1
Reconstruction,,Mick Herron,Kindle,1
Red Gold (A Gabe McKenna Mystery Book 1),,Robert D. Kidera,Kindle,1
Red Mars,A gripping future history sci-fi novel (Mars Trilogy Book 1) Kim,Stanley Robinson,Kindle,1
Red Notice,The electrifying thriller from the No. 1 bestseller (Tom Buckingham),Andy McNab,Kindle,1
Red Phoenix,,Larry Bond,Kindle,1
Red Phoenix (Thomas Caine Thrillers Book 3),,Andrew Warren,Kindle,1
Red Rising,,Pierce Brown,Audible,1
Red Rising (#1),Red Rising Series,Pierce Brown,Kindle,1
Red Star Down,"The most explosive spy thriller you'll read this year, for fans of MOSCOW X, I AM PILGRIM and SLOW HORSES",D. B. John,Kindle,1
Redshirts,The laugh out loud meta sci fi adventure,John Scalzi,"Kindle, Audible",2
REDUX,A Black Flagged Thriller (The Black Flagged Series Book 2),Steven Konkoly,Kindle,1
Reefer Madness,And Other Tales from the American Underground,Eric Schlosser,Physical,1
Remember the Mission,"Find Purpose, Create Direction, Embrace Life (It's A State Of Mind Book 1)",James Boardman,"Physical, Kindle",2
Remote,Office Not Required David,Heinemeier Hansson,Kindle,1
Remote Control,"(Nick Stone Thriller 1): The explosive, bestselling first book in the series",Andy McNab,Kindle,1
Replay,,Ken Grimwood,Audible,1
Resilience,10 habits to sustain high performance,Jo Owen,Physical,1
Resilience,Facing Down Rejection and Criticism on the Road to Success,Mark McGuinness,Physical,1
Resilience,Hard-Won Wisdom for Living a Better Life,Eric Greitens Navy SEAL,Physical,1
Resilient,12 Tools for transforming everyday experiences into lasting happiness Rick Hanson in quieten i May 2orce-,Rick Hanson,"Kindle, Audible",2
RESIST AND EVADE,A Post-Apocalyptic EMP Thriller (The Blue Lives Apocalypse Series Book 2),Lee West,Kindle,1
Resonate,Present Visual Stories that Transform Audiences,Nancy Duarte,Physical,1
Retribution,A Gripping Paranormal Thriller (The Psychic Detective Kate Pierce Crime Thriller Series Book 1),C. M. Sutter,Kindle,1
Return to Tomorrow (The Time Bubble Series Book 11),,Jason Ayres,Kindle,1
Rewire Your Mindset,"Own Your Thinking, Control Your Actions, Change Your Life!",Brian Keane,Physical,1
Rework,,,Physical,1
Rex Dalton Thrillers,Books 1-3 (The Rex Dalton Series Boxset Book 1),JC Ryan,Kindle,1
"Right Thing, Right Now",Good Values. Good Character. Good Deeds.,Ryan Holiday,"Physical, Kindle, Audible",3
Rip Tide,A Liz Carlyle novel (Liz Carlyle Novels Book 6),Stella Rimington,Kindle,1
Rise of the Enemy,A gripping international suspense thriller (The Enemy Series Book 2),Rob Sinclair,Kindle,1
Rising Strong,"The inspiring bestseller to help you create a life you love, from the author of Dare to Lead and The Gifts of Imperfection",Brené Brown,Audible,1
Rising Strong Brené Brown,,Brene Brown,Kindle,1
River God,The Egyptian Series 1 (Egypt Series),Wilbur Smith,Kindle,1
River of Gods,,lan Mcdonald,Kindle,1
Robogenesis (Robopocalypse series Book 2),,Daniel H. Wilson,Kindle,1
Robopocalypse (Robopocalypse series Book 1),,Daniel H. Wilson,Kindle,1
Rock Bottom (The Time Bubble Series Book 8),,Jason Ayres,Kindle,1
Roget's Thesaurus - Definitive Edition (Fully Searchable) Peter,,Mark Roget,Kindle,1
Roget's Thesaurus of English Words And Phrases,,Betty Kirkpatric,Physical,1
Roget's Thesaurus of English Words and Phrases Peter,,Mark Roget,Kindle,1
Rogets Thesaurus Of English Words And Phrases,New Edition,Various,Physical,1
Rogue Protocol,The Murderbot Diaries,Martha Wells,"Kindle, Audible",2
Rogue State,A Guide to the World's Only Superpower,William Blum,Physical,1
"Rogue wolves The Redaction Chronicles Book 3, James Ouinn.",,Loma Readi,Kindle,1
ROLLING THUNDER,An Historical Novel of War and Politics (Wings of War Book 1),Mark Berent,Kindle,1
Roque Wave Sam kelly book 4),,Christopher Cartwright,Kindle,1
Rough Diamonds,A Spider Shepherd short story (Dan Shepherd series Book 8),Stephen Leather,Kindle,1
Rough Justice,The Seventh Spider Shepherd Thriller,Stephen Leather,Kindle,1
Roy,The Most Chaotic Midlife Crisis in Cosmic History (Puki Horpocket Presents Book 1),Zachry Wheeler,Kindle,1
Royal Flash,,George MacDonald Fraser,Physical,1
Rule 34,,Charles Stross,Kindle,1
Rule by Secrecy,"Hidden History That Connects the Trilateral Commission, the Freemasons, and the Great Pyramids, The",Jim Marrs,Physical,1
Rules of Love,"A Personal Code for Happier, More Fulfilling Relationships",Richard Templar,Physical,1
Rules of Management,The Definitive Guide to Managerial Success,Richard Templar,Physical,1
"Rules of Work, Expanded Edition, The",A Definitive Code for Personal Success (Richard Templar's Rules),Richard Templar,Kindle,1
"Rules to Break, 3rd ed.",,Richard Templar,Physical,1
Run and Hide (An Eva Driscoll Thriller Book 1),,Alan McDermott,Kindle,1
Runner's World Book of Running for Beginners,,Amby Burfoot,Physical,1
Runner's World How to Make Yourself Poop,And 999 Other Tips All Runners Should Know,Meghan Kita,Physical,1
Running Black (Eshu International Book 1),,Patrick Todoroff,Kindle,1
Running Free,A Runner's Journey Back to Nature (Vintage Classics),Richard Askwith,Kindle,1
Running IPv6,,Iljitsch van Beijnum,Physical,1
Russian Hill,CC Trilogy Book 1 (Abby Kane FBI Thriller 3),Ty Hutchinson,Kindle,1
Russian Roulette,An Action-Packed Spider Shepherd SAS Novella (Spider Shepherd: SAS Book 4),Stephen Leather,Kindle,1
Ruthless,Book 6 of the Mia Kazmaroff Mysteries,Susan Kiernan-Lewis,Kindle,1
S is for Silence (Kinsey Millhone Alphabet series Book 19),,Sue Grafton,Kindle,1
"S.U.M.O (Shut Up, Move On)",The Straight-Talking Guide to Creating and Enjoying a Brilliant Life,Paul McGee,Audible,1
Safe Haven Refuge,Book 3 Angela White,,Kindle,1
Sales Bible,The Ultimate Sales Resource,Jeffrey Gitomer,Physical,1
Salvation (The Salvation Sequence),,Peter F. Hamilton,Physical,1
Sam Harris Adventure Box Set,Enthralling adventure with a female protagonist,PJ Skinner,Kindle,1
Same as Ever,"Timeless Lessons on Risk, Opportunity and Living a Good Life",Morgan Housel,"Kindle, Audible",2
Sams Teach Yourself Beginning Programming in 24 Hours,,Greg M. Perry,Physical,1
Sapiens,A Brief History of Humankind: The multi-million copy bestseller,Yuval Noah Harari,Kindle,1
SAS,Rogue Heroes,Ben Macintyre,Physical,1
SAS,Sea King Down,Mark Aston,Kindle,1
Satori,A Novel Based on Trevanian's Shibumi,Trevanian,Physical,1
SBS,The Inside Story of the Special,Boat Service,Kindle,1
Scarcity,A Black-Market Organ Trading FBI Thriller (Jack Randall Book 3),Randall Wood,Kindle,1
Scary Smart,The Future of Artificial Intelligence and How You Can Save Our World,Mo Gawdat,Audible,1
School of the Assassins,Pieter Durant Thriller Book 1 (Pieter Durant Series),W.K. Blais,Kindle,1
Scorpia,,Anthony Horowitz,Physical,1
Scorpia Rising (Alex Rider),,Anthony Horowitz,Physical,1
Scrum,The Art of Doing Twice the Work in Half the Time Jeff,Sutherland,Kindle,1
SDN,Software Defined Networks: An Authoritative Review of Network Programmability Technologies,Thomas D. Nadeau,Physical,1
Season Of The Harvest (Harvest Triloqy. Book 1),,Michael K. Hicks,Kindle,1
Secret Asset,(Liz Carlyle 2),Stella Rimington,Kindle,1
Secret of the Scroll (Greg McKenzie Mysteries Book 1),,Chester D. Campbell,Kindle,1
Secret Origin (Green Lantern),,Geoff Johns,Physical,1
Secret Service,The Sunday Times top ten bestseller,Tom Bradby,Kindle,1
Secret Victory,The Intelligence War that Beat the IRA,William Matchett,"Kindle, Audible",2
"Secrets & Lies (""Lies"" Mystery Thriller Series Book 4)",,Andrew Cunningham,Kindle,1
Secrets of the Stoics,How to Live an Undefeatable Life,Jason Hemlock,Kindle,1
Secrets to Parenting Without Giving a F^ck,The Non-Conformist Playbook to Raising Happy Kids Without Public .,Sue Donnellan,Kindle,1
Security Complete,,Hollis Thomases Jarboe; Mari Smith; Chris Treadaway Dave Evans Greg,Physical,1
Sei Assassin Thrillers,Books 1-3,Ty Hutchinson,Kindle,1
Selling in a Crisis,55 Ways to Stay Motivated and Increase Sales in Volatile Times,Jeb Blount,Audible,1
Selling To VITO (The Very Important Top Officer),,Anthony Parinello,Physical,1
Sense of Honour,,James Webb,Physical,1
Separation Of Power (#3),(Mitch Rapp Series),Vince Flynn,Kindle,1
Serenity Stalked (The Shelby Alexander Thriller Series Book 2),,Craig A. Hart,Kindle,1
Serial Date,A Leine Basso Thriller,D.V. Berkom,Kindle,1
SEVEN DAYS TO DIE,,MICHELLE KIDD,Kindle,1
Seven Unholy Days,Matt Decker Book 1,Jerry Hatchett,Kindle,1
Seven years Dead - A word war2 & espionage Thriller,,Chuck Driskell,Kindle,1
Sfu Green Lantern Corps #1,,Peter J. Tomasi,Physical,1
Shadowplay,A Memoir From Behind the Lines and Under Fire,Tim Marshal,Kindle,1
Shakedown,,Joel Goldman.,Kindle,1
She's Got the Guns (The Suite #45 Series Book 1),,M.O. Mack,Kindle,1
Sherlock Holmes,The Definitive Collection,Stephen Fry - introductions; Arthur Conan Doyle,Audible,1
Shibumi,,Trevanian,Physical,1
Shift,Book 2 of Silo (Wool Trilogy Series),Hugh Howey,"Kindle, Audible",2
shift 2020 - How Technology Will Impact Our Future,A collaborative book including foresights on how technology will ….. Rudy,De Waele,Kindle,1
Short Fuses (Four free short stories),,Stephen Leather,Kindle,1
Show Your Work!,10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,Physical,1
Sicily (DK Eyewitness Top 10 Travel Guide),,,Physical,1
Silencer,(Nick Stone Thriller 15),Andy McNab,Kindle,1
Silent Night (Sam Archer Book 4),,Tom Barber,Kindle,1
Silent Source,A Medical Thriller James,Marshall Smith,Kindle,1
Simplify Your Life,"Waste Less, Value More, Go Minimalist",Mary Conroy,"Kindle, Audible",2
Singularity Sky,(Singularity Sky Book 1),Charles Stross,Kindle,1
Sins of the Father,A Logan Falcone Thriller Michael,Reid Jr,Kindle,1
Sins of the Past,A riveting suspense novel that keeps you guessing until the end (A Cooper and White Mystery Book 1),Julia Derek,Kindle,1
Site Reliability Engineering,How Google Runs Production Systems Niall,Richard Murphy,Kindle,1
Situation Room (a Luke Stone Thriller-Book #3),,Jack Mars,Kindle,1
Six Jonn Jordan Mysteries (Jonn Jordan Mysteries collections.,,Michael Listen,Kindle,1
Six Weeks To OMG Venice A,,Fulton,Kindle,1
Skeleton Key (Alex Rider),,Anthony Horowitz,Physical,1
Sketches from Afghanistan,,Matthew Cook,Physical,1
Skin in the Game (A Cain/Harper Thriller Book 1),,D. P. Lyle,Kindle,1
Skin in the Game lomas,,Byrne,Kindle,1
Skip Langdon Mystery Series Vol. 1-5,The Skip Langdon Mystery Anthologies Book 3,Julie Smithi,Kindle,1
Slater & Norman Mysteries Boxed Set 1 (Dave Slater Mystery Novel Box Sets),,PF Ford,Kindle,1
Slough House,Slough House Thriller 7,Mick Herron,Kindle,1
Slow Horses,Slough House Thriller 1,Mick Herron,Kindle,1
Slow Productivity,The Lost Art of Accomplishment Without Burnout,Cal Newport,Audible,1
Smart Like How. The Hidden Side of Career Success,,Christian Bonilla,Kindle,1
Smoke and Whispers,Zoe Boehm Thriller 4,Mick Herron,Kindle,1
Snakehead (Alex Rider),,Anthony Horowitz,Physical,1
Sniper One,'The Best I've Ever Read' - Andy McNab,Dan Mille,Kindle,1
Snow Crash,,Neal Stephenson,Kindle,1
SNOW! (SNOW TRILOGY Book 1),,Ryan Clifford,Kindle,1
So Good They Can't Ignore You,,Cal Newport,"Kindle, Audible",2
"Soft Selling in a Hard World, Plain Talk on the Art of Persuasion",,Jerry Vass,Kindle,1
Soft Target,The Second Spider Shepherd Thriller,Stephen Leather,Kindle,1
Software Defined Networking (SDN) - a definitive guide Rajesh,,Kumar Sundararajan,Kindle,1
Software Presales,An Introduction,Mervyn George,Kindle,1
Sold Out (Nick Woods Book 1),,Stan R. Mitchell,Kindle,1
Soldier,Respect Is Earned,Jay Morton,"Physical, Kindle, Audible",3
Soldiers,A History of Men in Battle,John Keegan,Physical,1
SOLOMON vs. LORD (Solomon vs. Lord Legal Thrillers Book 1),,Paul Levine,Kindle,1
Solve For Happy,Engineer Your Path to Joy,Mo Gawdat,"Kindle, Audible",2
Son of a Liche,(The Dark Profit Saga),J. Zachary Pike,"Kindle, Audible",2
Spam Nation,The Inside Story of Organized Cybercrime - from Global Epidemic to Your Front Door,Brian Krebs,Physical,1
Speaker for the Dead,Book 2 of the Ender Saga (The Ender Quartet series) Orson,Scott Card,Kindle,1
SpecOps,"Expeditionary Force, Book 2",Craig Alanson,Audible,1
SpecOps (Expeditionary Force Book 2),,Craid Alanson,Kindle,1
Spider's Web,Spider Shepherd Short Stories,Stephen Leather,Kindle,1
Spies of the Midnight Sun,A True Story of WWII Heroes (World War Two Series Book 3),Samuel Marquis,Kindle,1
Spilled Blood,,Brian Freeman,Kindle,1
SPIN®-Selling,,Neil Rackham,Physical,1
Splinters in Time (The Time Bubble Series Book 4),,Jason Ayres,Kindle,1
Spook Street,Slough House Thriller 4,Mick Herron,Kindle,1
Sputnik Sweetheart,,Haruki Murakami,Kindle,1
Squall,,Sean Costello,Kindle,1
Stakeknife,Britain's Secret Agents in Ireland,Greg Harkin,Kindle,1
Standing by the Wall,A Slough House Novella,Mick Herron,Kindle,1
Stanton,The Trilogy,Alex MacLean,Kindle,1
Star of Africa,"An explosive action adventure thriller from the Sunday Times bestselling author (Ben Hope, Book 13)",Scott Marianil,Kindle,1
Starship Troopers,,Robert A. Heinlein,Physical,1
Start Now. Get Perfect Later.,,Rob Moore,Kindle,1
Station Eleven,"the immersive, evocative bestselling modern classic (Picador Collection) Emily St.",John Mandel,Kindle,1
"Stay Alive, My Son",,Pin Yathay,Physical,1
Steal This Computer Book,What They Won't Tell you About the Internet,Wallace Wang,Physical,1
Steamborn (Steamborn Series Book 1),,,Kindle,1
Steel Force,"A Jack Steel Action Mystery Thriller, Book 1 (A Jack Steel Thriller Series)",Geoffrey Saign,Kindle,1
Steel Trap,"A Jack Steel Action Mystery Thriller, Book 4 (A Jack Steel Thriller)",Geoffrey Saign,Kindle,1
Still Not Bionic,Adventures In Unremarkable Ultrarunning,Tra Kalney,"Kindle, Audible",2
Stillness Is the Key,"An Ancient Strategy for Modern Life (The Way, the Enemy and the Key)",Ryan Holiday,"Physical, Kindle, Audible",3
Stoicism,How to Use Stoic Philosophy to Find Inner Peace and Happiness,Jason Hemlock,Kindle,1
STOICISM,The Simplistic Timeless Stoic Art of Better Living with Ancient Wisdom,Maya Bennett,Kindle,1
Stoicism and the Art of Happiness,"Practical wisdom for everyday life: embrace perseverance, strength and happiness",Donald Robertson,Kindle,1
Stop Doing That Sh*t,,,Audible,1
Stop Doing That Shit,,Gary John Bishop,Kindle,1
Stop Reading the News,"A Manifesto for a Happier, Calmer and Wiser Life",Rolf Dobelli,"Physical, Kindle, Audible",3
Storage Area Networks For Dummies,,Christopher Poelker,Physical,1
Storm Front,"The Epic True Story of a Secret War, the SAS's Greatest Battle, and the British Pilots Who Saved Them",Rowland White,Physical,1
Stormbreaker (Alex Rider),,Anthony Horowitz,Physical,1
Story of Philosophy,The Lives and Opinions of the Greater Philosophers Will,Durant,Kindle,1
Storytelling for Business,(Business Communication Skills Book 3),Philipp Humm,Kindle,1
Strangers To Superfans,A Marketing Guide to The Reader Journey (Let's Get Publishing Book 2),David Gaughran,Kindle,1
Stray Cat Blues,A Mystery Crime Thriller (Max Plank Mystery Series Book 1),Robert Bucchianeri,Kindle,1
StreetCreds 2nd edition (The CurbCheK Series),,Zach Fortier,Kindle,1
Strengths Based Parenting,Developing Your Children's Innate Talents,Mary Reckmeyer Ph.D.,Physical,1
StrengthsFinder 2.0,,Gallup,Physical,1
STRENGTHSFINDER 2.0,By the New York Times Bestselling Author of Wellbeing,Tom Rath,Kindle,1
Stress Fracture (Dub Walker Book 1),,D.P. Lyle,Kindle,1
StrikeForce Reborn (Project StrikeForce Book 4) Kevin,,Lee Swalm,Kindle,1
Stumbling on Happiness,,Daniel Gilbert,"Physical, Kindle",2
Stupid White Men,...and Other Sorry Excuses for the State of the Nation,Michael Moore,Physical,1
Sub-Human (Book 1),A Science Fiction Novel (Post-Human Series),David Simpson,Kindle,1
Success Through a Positive Mental Attitude,,Napoleon Hill,Physical,1
Suicide Run,Three Harry Bosch Stories,Michael Connelly,Kindle,1
Summer Frost (Forward collection),(forward Collection) AMAZON ONLY,Blake Crouch,Kindle,1
Summer People (Ray Elkins Thriller Series),,Aaron Stander,Kindle,1
Super Colossal Reacher Universe Bundle Volume 1,,Jude Hardin,Kindle,1
Super Thinking,Upgrade Your Reasoning and Make Better Decisions with Mental Models,Gabriel Weinberg,Kindle,1
Supercrunchers,,Ian Ayres,Physical,1
Superintelligence,"Paths, Dangers, Strategies",Nick Bostrom,"Kindle, Audible",2
Supertide,,Steven F. Freeman,Kindle,1
Surface Tension,A Seychelle Sullivan Novel (South Florida Adventure Series Book 1),Christine Kling,Kindle,1
Survival,After It Happened Book 1,Devon C. Ford,Kindle,1
SURVIVE AND ESCAPE,A Post-Apocalyptic EMP Thriller (The Blue Lives Apocalypse Series Book 1),Lee West,Kindle,1
Surviving the Blackout,(Surviving the EMP Book 4),Ryan Casey,Kindle,1
Surviving the End,Books One to Three,Grace Hamilton,Kindle,1
"Surviving The Evacuation, Book 0.5",Zombies vs The Living Dead,Frank Tayell,Kindle,1
"Surviving The Evacuation, Book 1",London,Frank Tayell,Kindle,1
"Surviving The Evacuation, Book 2",Wasteland,Frank Tayell,Kindle,1
"Surviving The Evacuation, Book 3",Family,Frank Tayell,Kindle,1
"Surviving The Evacuation, Book 4. Unsafe Haven",,Frank Tavell,Kindle,1
"Surviving The Evacuation, Book 5",Reunion,Frank Tavell,Kindle,1
Surviving The Evacuation. Book 6,Harvest,Frank Tavell,Kindle,1
Surviving The Evacuation. Book 7,Home,Frank Tavell,Kindle,1
Swan Song,,Robert McCammon,Kindle,1
Swan Song,,Robert R. McCammon,Audible,1
Sweet Sweet Revenge Ltd.,,Jonas Jonasson,Audible,1
Switch,,Grant McKenzie,Kindle,1
Switch,How to change things when change is hard,Chip Heath,Kindle,1
Sydney Rye Mysteries Books 4-6 (Sydney Rye Mysteries Box Sets Book 2),,Emily Kimelman,Kindle,1
Sympathy for the Devil,,Kent Anderson,Physical,1
System Collapse,The Murderbot Diaries,Martha Wells,"Kindle, Audible",2
T is for Trespass (Kinsey Millhone Alphabet series Book 20),,Sue Grafton,Kindle,1
Tahoe Ghost Boat (An Owen McKenna Mystery Thriller Book 12),,Todd Borg,Kindle,1
Tai-Pan,The Second Novel of the Asian Saga,James Clavell,Physical,1
Take A Number (The Jeri Howard Series Book 3),,Janet Dawson,Kindle,1
Tango One (Stephen Leather Novels Book 14),,Stephen Leather,Kindle,1
Tanzi's Heat (Vince Tanzi Book 1),,C.I. Dennis,Kindle,1
Tao Te Ching (Unabridged and Illustrates),,Lao Tzu,Kindle,1
Task Force Black,The explosive true story of the SAS and the secret war in Iraq,Mark Urban,Physical,1
"Teach Yourself Algebra, 4th edn (Tye)",,P. Abbott,Physical,1
Teach Yourself Networking in 24 Hours,,Matt Hayden,Physical,1
Team of Teams,New Rules of Engagement for a Complex World,,Audible,1
Ten Times Happier,A guide on how to let go of what's holding you back from the bestselling author of TEN TO ZEN,Owen O'Kane,Kindle,1
Tentacles and Teeth (Land of Szornyek Book 1),,Ariele Sieling,Kindle,1
Terms of Enlistment (Frontlines Book 1),,Marko Kloos,Kindle,1
Test your own aptitude,,Jim Barrett,Physical,1
Testament,,Wilbur Smith,Kindle,1
"Thailand, Malaysia and Singapore (Independent Traveller's Thailand, Singapore, & Malaysia)",,Thomas Cook Publishing,Physical,1
That Little Voice In Your Head,Adjust the Code that Runs Your Brain,Mo Gawdat,"Kindle, Audible",2
The,,Republic Plato,Kindle,1
The 1% Rule,How to Fall in Love with the Process and Achieve Your Wildest Dreams,Tommy Baker,"Kindle, Audible",2
The 25 Sales Habits of Highly Successful Salespeople,,Stephan Schiffman,Kindle,1
The 4 Disciplines of Execution,Revised and Updated: Achieving Your Wildly Important Goals,Sean Covey,"Kindle, Audible",2
The 4 Disciplines of Execution,Revised and Updated: Achieving Your Wildly Important Goals,Chris McChesney; Sean Covey; Jim Huling; Scott Thele; Beverly Walker,Audible,1
The 4 Minute Millionaire,"44 Lessons to Rethink Money, Invest Wisely, and Grow Wealthy in 4 Minutes a Day",Niklas Göke,Kindle,1
The 4-Hour Chef,"The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",Timothy Ferriss,Kindle,1
The 4-Hour Work Week,"Escape the 9-5, Live Anywhere and Join the New Rich",Timothy Ferriss,Audible,1
The 5 Second Rule,"Transform Your Life, Work, and Confidence with Everyday Courage",Mel Robbins,Kindle,1
The 50th Law (The Modern Machiavellian Robert Greene Book 1) 50,,Cent,Kindle,1
